id,docente,autor_principal,ano,titulo,tipo_producao,revista_ou_veiculo,editora,cidade,isbn_issn,doi,url,indexacao,jif_jcr_2025,quartil_jcr_2025,pontuacao,observacoes
227,Paulo Felipe Ribeiro Bandeira,"CARNEIRO, MARIA LARYSSA BARROS",2025,"RELAÇÕES ENTRE PRÁTICA DE ATIVIDADE FÍSICA NA INFÂNCIA/ADOLESCÊNCIA COM A COMPETÊNCIA FÍSICA PERCEBIDA E NÍVEL DE ATIVIDADE FÍSICA NA VIDA ADULTA: UMA ANÁLISE DE REDES. Revista Interfaces: Saúde, Humanas e Tecnologia, v. 13, p. 6050-6061, 2025",artigo,"Revista Interfaces: Saúde, Humanas e Tecnologia",,,60506061,,,,,,,origem=planilha_nova
228,Daniela Karina da Silva Ferreira,"CARVALHO, I. C",2021,"Exercí­cios Fí­sicos para Mulheres com Varizes: Treinar condicionamento geral ou membros inferiores?. EDUCACIÓN FÍSICA Y CIENCIA, v. 23, p. 190, 2021",artigo,EDUCACIÓN FÍSICA Y CIENCIA,,,,,,,,,,origem=planilha_nova
229,Daniela Karina da Silva Ferreira,"CARVALHO, ÍCARO DO CARMO",2022,"Aplicabilidade do teste do degrau na avaliação da aptidão física de mulheres com sintomas de doença venosa crônica: estudo transversal. JORNAL VASCULAR BRASILEIRO (IMPRESSO), v. 21, p. 1-6, 2022",artigo,JORNAL VASCULAR BRASILEIRO (IMPRESSO),,,,,,,,,,origem=planilha_nova
230,Saulo Fernandes Melo de Oliveira,"CARVALHO, IGOR",2025,"The association between gaze behavior and parabadminton serves accuracy. International Journal of Sports Science & Coaching, v. 9, p. 1, 2025",artigo,International Journal of Sports Science & Coaching,,,17479541,10.1177/17479541251394001,,Web of Science (JCR); Scopus (SJR),2.1,Q2,90,origem=planilha_nova
231,Pedro Pinheiro Paes Neto,"CAVALCANTE FÉLIX, MARIA EDUARDA",2024,"Effects of physical activity on levels of anxiety, depression, and stress during the social isolation caused by COVID-19. Scientific Journal of Sport and Performance, v. 3, p. 261-269, 2024",artigo,Scientific Journal of Sport and Performance,,,,,,,,,,origem=planilha_nova
232,Paulo Roberto Cavalcanti Carvalho,"CAVALCANTI, T. V. O",2022,Acute efects of diferent intensites resistance traning on inflammatory markers of women with severe obesity,artigo,JOURNAL OF PHYSICAL EDUCATION (ONLINE),,,24482455,10.4025/jphyseduc.v36i1.3607,,Scopus (SJR),,,90,origem=planilha_nova
233,Paulo Roberto Cavalcanti Carvalho,"CAVALCANTI, T. V. O",2023,"Impact of short-term circuit resistance training on women with severe obesity awaiting bariatric surgery : A non-randomized controlled trial. JOURNAL OF PHYSICAL EDUCATION AND SPORT, v. 23, p. 2993-3002, 2023",artigo,JOURNAL OF PHYSICAL EDUCATION AND SPORT,,,2247806X,,,Scopus (SJR),,,90,origem=planilha_nova
234,Paulo Roberto Cavalcanti Carvalho,"CAVALCANTI, T. V. O",2023,"Prevalence of perceived barriers to physical activity among Pre- and Post-metabolic and Bariatric Surgery patients: A cross-sectional. OBESITY SURGERY, v. 33, p. 1-9, 2023",artigo,OBESITY SURGERY,,,,,,Scopus (SJR),,,90,origem=planilha_nova
235,Paulo Roberto Cavalcanti Carvalho,"CAVALCANTI, T. V. O",2021,"Nível de atividade física, sintomas depressivos e qualidade de vida de pessoas vivendo com HIV/AIDS durante a COVID-19-19. Revista Brasileira de Qualidade de Vida (RBQV), v. 13, p. 01-22, 2021",artigo,Revista Brasileira de Qualidade de Vida (RBQV),,,,,,,,,,origem=planilha_nova
236,Tony Meireles dos Santos,"CÉSAR VASCONCELOS, GUSTAVO",2023,"Acute effect of intensity and volume during strength training on sensation of pleasure, rating of perceived exertion, and pain in trained men. Human Movement, v. 1, p. 1, 2023",artigo,Human Movement,,,,,,Scopus (SJR),,,90,origem=planilha_nova
