excel_row,docente,ano,periodico,doi_identificado,issn_identificado,titulo_extraido_local
451,Paulo Roberto Cavalcanti Carvalho,,REVISTA ELETRÔNICA ACERVO EM SAÚDE,,,Analise da composicao corporal de mulheres com obesidade na fila de bariatrica apos 1 ano da pratica regular de exercicio fisico
452,Tony Meireles dos Santos,,INTERNATIONAL JOURNAL OF EXERCISE SCIENCE,,,Entropy of Heart Rate on Self-Selected Interval Exercises in Older Women
453,André dos Santos Costa,,JOURNAL OF AGING AND PHYSICAL ACTIVITY,,,Effects of Self-Selected Passive Recovery Time in Interval Exercise on Perceptual and Heart Rate Responses in Older Women: A Promissory Approach
454,Tony Meireles dos Santos,,JOURNAL OF AGING AND PHYSICAL ACTIVITY,,,Effects of Self-Selected Passive Recovery Time in Interval Exercise on Perceptual and Heart Rate Responses in Older Women: A Promissory Approach
455,Tony Meireles dos Santos,,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,,,Reliability of the Heartbeat Tracking Task to Assess Interoception
461,Pedro Pinheiro Paes Neto,,FISIOTERAPIA EM MOVIMENTO,,,Impact of strength training on bone mineral density in HIV-positive patients
462,Clarice Maria de Lucena Martins,,BRAIN SCIENCES,,,A Novel Exploratory Graph-Based Analytical Tool for Functional Near-Infrared Spectroscopy in Naturalistic Experiments: An Illustrative Application in Typically Developing Children
467,Rafael dos Santos Henrique,,HEALTH SCIENCE JOURNAL,,,Anthropometry and body composition of elite Brazilian soccer players according to the playing position
471,Pedro Pinheiro Paes Neto,,Revista Peruana de Ciencias de La Actividad Física y del Deporte,,1234-1245,Impacto de la ansiedade competitiva en la variabilidade de la frecuencia cardiaca y el rendimiento de los nadadores jovenes
472,Paulo Felipe Ribeiro Bandeira,,Ciência & Saúde Coletiva,,,Occupational violence in the nursing field during the pandemic: a network analysis
473,Paulo Felipe Ribeiro Bandeira,,Ciência & Saúde Coletiva,,,Workplace violence in the field of nursing during the pandemic: a network analysis
