grupo,excel_row,docente,ano,periodico,doi_identificado,titulo_extraido_local
62,495,Tony Meireles dos Santos,,International Journal of Environmental Research and Public Health,10.3390/ijerph23020221,Is There a Dose-Response Relationship between High-Intensity Interval Exercise (HIIE) Intensity and Affective Valence? Analysis of Three HIIE Sessions Performed with Different Amplitudes
63,510,Paulo Felipe Ribeiro Bandeira,,Ciência & Saúde Coletiva,,Association between the environment for physical activity in public schools and childhood obesity: a view in the light of complex systems
63,512,Paulo Felipe Ribeiro Bandeira,,Ciência & Saúde Coletiva,,Association between the environment for physical activity in public schools and childhood obesity: a view in the light of complex systems
64,532,Lucas Eduardo Rodrigues dos Santos,,INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY,10.1080/1612197x.2024.2446329,Exercise expectation changes psychophysiological responses to sprint exercise regardless of changes in pacing and performance
64,533,Tony Meireles dos Santos,,INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY,10.1080/1612197x.2024.2446329,Exercise expectation changes psychophysiological responses to sprint exercise regardless of changes in pacing and performance
65,535,Tony Meireles dos Santos,,"Recife: , 2023",,UTILIZACAO DA INTELIGENCIA ARTIFICIAL ATRAVES DE UM SISTEMA ESPECIALISTA PARA A TOMADA DE DECISAO NO ENFRENTAMENTO AO SEDENTARISMO
65,536,Lucas Eduardo Rodrigues dos Santos,,"Recife: , 2023",,UTILIZACAO DA INTELIGENCIA ARTIFICIAL ATRAVES DE UM SISTEMA ESPECIALISTA PARA A TOMADA DE DECISAO NO ENFRENTAMENTO AO SEDENTARISMO
66,542,Paulo Felipe Ribeiro Bandeira,,"Journal of Activity, Sedentary and Sleep Behaviors",,An ecological view on the correlates of sedentary behavior in Brazilian adolescents: a cross-sectional study with network analysis
66,543,Leonardo Gomes de Oliveira Luz,,"Journal of Activity, Sedentary and Sleep Behaviors",,An ecological view on the correlates of sedentary behavior in Brazilian adolescents: a cross-sectional study with network analysis
67,546,Daniel da Rocha Queiroz,,LANCET,,Worldwide trends in hypertension prevalence and progress in treatment and control from 1990 to 2019: a pooled analysis of 1201 population-representative studies with 104 million participants
67,547,Rafael dos Santos Henrique,,LANCET,,Worldwide trends in hypertension prevalence and progress in treatment and control from 1990 to 2019: a pooled analysis of 1201 population-representative studies with 104 million participants
